Climate,V1,V2,V3,V4,V5,V6,V7,V8
pre1A,Total_floor_area,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,,
pre2A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
pre2B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
pre3A,Total_floor_area,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,,
pre3B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
pre3C,Total_floor_area,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,,
pre4A,Total_floor_area,Window_to_wall_ratio,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,,,
pre4B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Weekly_operation_hour,Electric_equipment_power_density,,,
pre4C,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Weekly_operation_hour,Electric_equipment_power_density,,,
pre5A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,
pre5B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,,
pre6A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,,
pre6B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,
pre7,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,
pre8,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Weekly_operation_hour,Ventilation,,
post1A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,Ventilation
post2A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post2B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post3A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post3B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post3C,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post4A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,
post4B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post4C,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post5A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post5B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,,
post6A,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,
post6B,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,Ventilation,
post7,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,Ventilation
post8,Total_floor_area,Floor_to_floor_height,Window_to_wall_ratio,People_density,Indoor_cooling_setpoint_temperature,Weekly_operation_hour,Electric_equipment_power_density,Ventilation
